datetime,date,open,high,low,close,volume,symbol
2019-09-19 09:01:00+09:00,2019-09-19,8470,8500,8470,8480,5575,017960
2019-09-19 09:01:00+09:00,2019-09-19,4845,4845,4790,4810,12,036010
2019-09-19 09:02:00+09:00,2019-09-19,4545,4545,4545,4545,13,037440
2019-09-19 09:01:00+09:00,2019-09-19,3000,3000,3000,3000,10,101680
2019-09-19 09:01:00+09:00,2019-09-19,127500,127500,127000,127000,3842,005380
2019-09-19 09:01:00+09:00,2019-09-19,22200,22300,22200,22200,446,001680
2019-09-19 09:01:00+09:00,2019-09-19,457,457,457,457,96,004920
2019-09-19 09:01:00+09:00,2019-09-19,8100,8350,8100,8350,40,073570
2019-09-19 09:01:00+09:00,2019-09-19,1655,1700,1655,1700,698,002410
2019-09-19 09:01:00+09:00,2019-09-19,39600,39700,39100,39300,1202,131970
2019-09-19 09:01:00+09:00,2019-09-19,4680,4680,4675,4675,320,006110
2019-09-19 09:01:00+09:00,2019-09-19,6050,6080,6050,6080,3759,082210
2019-09-19 09:01:00+09:00,2019-09-19,45050,45250,45050,45050,714,007540
2019-09-19 09:01:00+09:00,2019-09-19,1635,1640,1630,1640,13979,083640
2019-09-19 09:01:00+09:00,2019-09-19,8690,8690,8690,8690,7,036560
2019-09-19 09:01:00+09:00,2019-09-19,5320,5320,5260,5280,7198,041930
2019-09-19 09:01:00+09:00,2019-09-19,1500,1500,1485,1485,13414,208350
2019-09-19 09:01:00+09:00,2019-09-19,7720,7760,7720,7760,1399,217270
2019-09-19 10:20:00+09:00,2019-09-19,109500,109500,109500,109500,11,005800
2019-09-19 09:01:00+09:00,2019-09-19,6510,6510,6510,6510,271,077500
2019-09-19 09:01:00+09:00,2019-09-19,16700,16700,16700,16700,79,000950
2019-09-19 09:01:00+09:00,2019-09-19,605,614,605,614,27,109960
2019-09-19 09:01:00+09:00,2019-09-19,808,808,808,808,155,033430
2019-09-19 09:01:00+09:00,2019-09-19,4070,4070,4070,4070,10,023810
2019-09-19 09:01:00+09:00,2019-09-19,4910,4920,4910,4920,13573,019540
2019-09-19 09:01:00+09:00,2019-09-19,444,450,444,450,5356,099340
2019-09-19 09:01:00+09:00,2019-09-19,23000,23000,22700,22900,16588,035900
2019-09-19 09:03:00+09:00,2019-09-19,4660,4660,4660,4660,25,067920
2019-09-19 09:01:00+09:00,2019-09-19,1600,1600,1560,1570,1851,090370
2019-09-19 09:01:00+09:00,2019-09-19,236,236,236,236,17002,043100
2019-09-19 09:01:00+09:00,2019-09-19,2690,2690,2685,2685,4995,047400
2019-09-19 09:01:00+09:00,2019-09-19,2255,2255,2250,2255,1758,003530
2019-09-19 09:01:00+09:00,2019-09-19,4745,4745,4745,4745,315,039860
2019-09-19 09:01:00+09:00,2019-09-19,4090,4095,4090,4095,911,026940
2019-09-19 09:01:00+09:00,2019-09-19,6400,6400,6400,6400,14,069110
